timestamp_ms,is_race_on,speed_mps,ax,ay,az,slip_ratio_fl,slip_ratio_fr,slip_ratio_rl,slip_ratio_rr,sent_brk,abs_scale,learn_on,learn_ceiling,learn_cap,learn_alat,learn_dref,learn_verdict,learn_brake_d,learn_open
353936453,1,106.507,-55.5512,9.2313,6.3319,0.0039,0.001,0.1915,0.1179,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936468,1,106.5466,-53.3687,7.88,6.5449,0.0056,0.0066,0.2077,0.1339,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936484,1,106.5565,-49.92,4.5776,5.9099,0.0081,0.0082,0.2496,0.1575,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936500,1,106.5349,-47.0442,1.2977,5.7206,0.0063,0.0008,0.279,0.1799,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936515,1,106.5261,-46.9829,-0.0583,4.5564,0.0017,-0.0031,0.2607,0.1749,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936531,1,106.5794,-51.5521,2.8067,5.0965,-0.0034,-0.004,0.2245,0.1307,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936546,1,106.6035,-53.0771,4.5578,5.6014,-0.0025,-0.0026,0.2234,0.1246,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936562,1,106.6208,-54.587,5.6339,6.1242,-0.0008,-0.0021,0.2297,0.1235,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936578,1,106.6309,-55.5395,6.3106,6.0807,-0.0002,-0.0013,0.2319,0.127,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936593,1,106.6478,-56.0729,6.7487,6.664,-0.002,-0.0018,0.2245,0.1203,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936609,1,106.6663,-57.0181,7.122,6.3794,-0.0001,0.0014,0.2286,0.1218,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936625,1,106.6789,-56.5319,6.6791,7.027,0.0029,0.0038,0.2456,0.1266,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936640,1,106.6719,-56.5115,5.7455,6.634,0.0058,0.0028,0.2653,0.138,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936656,1,106.6501,-57.38,5.4043,6.2236,0.0081,0.0013,0.2699,0.1463,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936671,1,106.6407,-60.3337,6.7512,6.6318,0.0124,0.0055,0.2526,0.1306,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936687,1,106.6391,-60.8531,6.8399,6.9833,0.0138,0.0086,0.2608,0.1388,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936703,1,106.6245,-59.8006,5.5719,6.7247,0.0183,0.0143,0.2875,0.1569,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936718,1,106.5874,-57.826,3.6421,6.4731,0.0219,0.0146,0.3288,0.1732,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936734,1,106.5326,-57.0171,2.4013,6.01,0.013,0.0033,0.3306,0.1877,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936750,1,106.4816,-59.0365,3.129,5.2731,0.0051,-0.0026,0.3096,0.1876,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936765,1,106.4562,-62.0593,5.1881,5.7903,0.0003,-0.003,0.2954,0.149,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936781,1,106.4354,-66.5343,8.705,6.8203,-0.0307,-0.0176,0.281,0.1509,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936796,1,106.4082,-66.1064,7.7068,7.423,-0.0159,-0.0048,0.317,0.1684,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936812,1,106.3692,-64.6382,5.51,7.0401,-0.0017,0.0025,0.3651,0.1913,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936828,1,106.3229,-63.7992,4.0299,6.2684,0.0021,0.0006,0.3617,0.2105,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936843,1,106.296,-64.9551,4.0972,6.367,0.0011,0.0004,0.3451,0.1836,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936859,1,106.2941,-67.9114,5.5216,7.0923,-0.0026,0.0012,0.3072,0.1715,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936875,1,106.2967,-70.228,6.8337,7.9799,-0.0033,0.0016,0.2983,0.167,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936890,1,106.2945,-70.564,6.6721,8.1432,-0.0032,0.0027,0.3048,0.1753,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936906,1,106.286,-69.1683,5.2338,8.0681,-0.003,0.0036,0.3227,0.1952,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936921,1,106.2387,-63.9354,1.449,6.9265,-0.0005,0.0002,0.3719,0.2157,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936937,1,106.2317,-62.9177,1.1129,7.1348,-0.0117,-0.0096,0.3453,0.21,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936953,1,106.2716,-61.2139,2.1938,6.8,-0.0053,-0.0019,0.2936,0.2039,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936968,1,106.3318,-55.6338,4.578,7.218,-0.0024,0.0005,0.241,0.2011,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353936984,1,106.3852,-48.8735,6.5929,7.0467,-0.0039,-0.0007,0.2249,0.177,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937000,1,106.4312,-44.8309,8.0086,7.569,-0.0021,0.0001,0.2204,0.1715,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937015,1,106.4513,-41.6328,7.8118,6.8511,-0.0017,0.0005,0.2266,0.2165,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937031,1,106.4732,-38.444,6.4284,6.506,-0.0018,0.0005,0.2508,0.1801,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937046,1,106.4968,-43.2947,4.5139,6.2203,0.0024,0.0066,0.2623,0.1744,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937062,1,106.4847,-47.5127,3.5948,5.6946,-0.0006,-0.0007,0.2949,0.1726,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937078,1,106.5016,-50.2379,3.0473,5.279,-0.0012,-0.0021,0.2517,0.1765,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937093,1,106.5396,-51.1886,3.2646,5.6773,-0.0014,-0.0025,0.2349,0.1635,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937109,1,106.5813,-51.0348,3.5868,5.9003,-0.0012,-0.0024,0.2226,0.156,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937125,1,106.6225,-50.8342,3.6873,5.5831,-0.0034,-0.0029,0.2108,0.1535,0,1,1,6.43,1.608,37.76,37.37,0,0,1
353937140,1,106.6612,-49.949,3.5739,5.8838,-0.0034,-0.0037,0.2023,0.1547,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937156,1,106.6987,-49.5194,3.7145,5.6985,-0.0027,-0.003,0.2087,0.1451,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937171,1,106.8021,-48.0047,4.9593,5.6142,-0.003,-0.0007,0.1703,0.1382,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937187,1,106.8566,-46.2071,5.8424,5.8267,-0.0027,-0.0011,0.1664,0.1345,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937203,1,106.9115,-44.8401,6.7615,5.6751,-0.0025,-0.0011,0.1534,0.1301,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937218,1,106.9704,-42.3417,7.5302,5.7504,-0.0032,-0.0009,0.1461,0.126,0,1,1,6.43,1.608,37.75,37.37,0,0,1
353937234,1,107.0293,-39.1687,7.2499,5.2022,-0.0037,-0.0015,0.1485,0.1283,0,1,1,6.43,1.608,37.75,37.37,0,0,1
